clonotype,x,Mouse
clonotype1_siin,1,MB9625
clonotype7_siin,2,MB9625
clonotype3_siin,2,MB9561
clonotype5_siin,1,MB9619
clonotype42_siin,3,MB9509
clonotype8_siin,2,MB9452
clonotype17_siin,2,MB9452
clonotype53_siin,2,MB9619
clonotype4_siin,2,MB9621
clonotype10_siin,4,MB9457
clonotype39_siin,4,MB9561
clonotype16_siin,4,MB9622
clonotype6_siin,5,MB9622
clonotype14_siin,3,MB9622
clonotype23_siin,4,MB9561
clonotype72_siin,4,MB9619
clonotype25_siin,2,MB9625
clonotype26_siin,1,MB9561
clonotype27_siin,2,MB9625
clonotype58_siin,3,MB9625
clonotype1_siy,2,MB9622
clonotype2_siy,1,MB9625
clonotype11_siy,2,MB9561
clonotype3_siy,1,MB9625
clonotype24_siy,5,MB9619
clonotype25_siy,3,MB9561
clonotype4_siy,1,MB9625
clonotype32_siy,6,MB9458
clonotype5_siy,4,MB9459
clonotype36_siy,5,MB9625
clonotype20_siy,7,MB9621
clonotype8_siy,8,MB9561
clonotype37_siy,2,MB9509
clonotype31_siy,4,MB9619
clonotype18_siy,9,MB9452
clonotype10_siy,1,MB9452
clonotype42_siy,10,MB9619
clonotype26_siy,8,MB9561
clonotype67_siy,8,MB9619
clonotype12_siy,5,MB9619
clonotype41_siy,5,MB9457
clonotype54_siy,6,MB9561
clonotype22_siy,9,MB9452
